P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,number_of_fails,mp.dps,ComputTime
0.778403158784991,1.03324624929511,19.2301749030549,1.02870579722365,0,17.7827941003892,1,40,2702.62398719788
0.778451654524255,1.0334264337705,21.5735329889762,1.02552740996148,0,19.9526231496888,1,40,2175.24318861961
0.778490165293763,1.03356712407754,24.2032324048269,1.0227076223802,0,22.3872113856834,1,25,990.071734428406
0.77852074599845,1.03367932762291,27.1540088766154,1.02020280772685,0,25.1188643150958,2,25,1040.80623602867
0.778545029225798,1.03377015397137,30.4651747717738,1.01797637528089,0,28.1838293126445,1,25,1024.92418980598
0.77856431175551,1.033839692166,34.1805472985416,1.01599974887414,0,31.6227766016838,3,25,954.575162887573
0.778579623472364,1.03389621864286,38.3494970655817,1.01424206825009,0,35.4813389233575,3,25,1086.84806752205
0.77859178221155,1.03394162327651,43.0273710965627,1.0126781491357,0,39.8107170553498,3,25,1059.12895894051
0.778601437374643,1.03397636162737,48.2761509724545,1.01128841836683,0,44.6683592150963,7,25,970.025028705597
0.778609104598295,1.03400503776968,54.1655208058736,1.01005152038286,0,50.1187233627272,6,25,976.799923658371
0.7786151932992,1.03402710031147,60.7736266724704,1.00895128057489,0,56.2341325190349,11,25,1105.2309653759
0.778620028553864,1.03404525005189,68.1881543314769,1.00797215391751,0,63.0957344480194,6,25,746.045915603638
0.778623868474402,1.03405910692091,76.5075217539135,1.00710021772761,0,70.7945784384139,11,25,879.276198625565
0.778626918005604,1.03407044529352,85.8421170676603,1.00632450414672,0,79.4328234724282,16,25,918.486611604691
0.778629339879657,1.03407928892234,96.3157426373734,1.00563369064271,0,89.1250938133746,16,25,844.957417964935
0.778631263313529,1.0340861876367,108.067444592476,1.00501907652708,0,100,20,25,908.919633150101
0.778632790913836,1.03409178175939,121.253130824377,1.00447143853798,0,112.201845430197,10,40,2960.895809412
0.77863400415889,1.03409633138603,136.047771890362,1.00398353471189,0,125.892541179417,22,25,995.540712833404
0.778634967750839,1.03409972012123,152.647656420318,1.00354930002367,0,141.253754462276,23,25,1027.94232010841
0.778635733071009,1.03410254487126,171.273089480455,1.0031623434508,0,158.489319246111,14,25,730.073095798492
0.778636340923338,1.03410482737587,192.17127892298,1.00281780354232,0,177.827941003892,23,25,979.553606987
0.778636823712491,1.03410669820977,215.619376353933,1.00251060986457,0,199.526231496888,33,25,894.21608710289
0.778637207173319,1.0341080256748,241.928633811612,1.00223721536719,0,223.872113856834,24,40,3649.57291674614
0.77863751174409,1.03410919657874,271.448212312364,1.00199351586155,0,251.188643150958,28,25,1096.18698906899
0.778637753656861,1.03410998163644,304.569682603063,1.00177644756933,0,281.838293126446,32,25,1218.3421330452
0.778637945803331,1.03411079158338,341.732577966446,1.00158294718244,0,316.227766016838,34,25,1091.03609871864
0.778638098422388,1.03411124383035,383.430122796831,1.00141071741646,0,354.813389233576,34,25,873.15763258934
0.778638219646102,1.03411181308404,430.215484393038,1.00125711172398,0,398.107170553498,45,25,746.594931364059
0.778638315933319,1.03411207647448,482.709609938672,1.0011203069648,0,446.683592150964,44,25,1011.64002752304
0.778638392413986,1.03411236734837,541.608964462299,1.00099836998807,0,501.187233627272,59,25,973.725900888443
0.778638453162618,1.03411256316781,607.695130927437,1.00088978111664,0,562.341325190349,50,40,3017.70703101158
0.778638501415466,1.03411277804229,681.845038535771,1.00079294726811,0,630.957344480194,50,40,2929.02705216408
0.778638539742996,1.03411290531668,765.042671267062,1.00070664440276,0,707.945784384139,49,25,1007.69812321663
0.778638570186876,1.03411304556896,858.391879461832,1.00062975774364,0,794.328234724282,54,25,800.586015224457
0.778638594368771,1.03411314346546,963.131464018428,1.00056125245984,0,891.250938133746,71,25,1004.44073009491
0.778638613576752,1.03411321686779,1080.65124698269,1.00050017778102,0,1000,74,25,863.892709493637
0.778638628833922,1.0341132556419,1212.51062355924,1.00044577074694,0,1122.01845430197,65,25,717.192408561707
0.778638640952932,1.03411328003805,1360.45920943606,1.00039730798547,0,1258.92541179417,61,40,2229.50591802597
0.778638650579267,1.03411331755527,1526.46031582651,1.00035406534199,0,1412.53754462276,81,40,2771.75258088112
0.77863865822564,1.03411333920909,1712.71654846495,1.00031556147457,0,1584.89319246111,81,25,914.715415477753
0.778638664299302,1.03411335483604,1921.69954007081,1.00028124077952,0,1778.27941003892,80,25,858.337265014648
0.778638669123735,1.0341133877458,2156.18231236058,1.00025063721237,0,1995.26231496888,82,25,970.163568019867
0.778638672955884,1.0341134033876,2419.27640170315,1.00022338431255,0,2238.72113856834,97,25,817.18906712532
0.778638675999844,1.03411340948444,2714.47275902239,1.00019908233087,0,2511.88643150958,87,40,2841.99542713165
0.77863867841773,1.03411342472236,3045.68846010113,1.00017743365457,0,2818.38293126446,95,25,792.590474843979
0.778638680338313,1.03411343987803,3417.31862200062,1.00015813096898,0,3162.27766016838,81,25,669.531511545181
0.778638681863877,1.03411342393677,3834.29450991595,1.0001409402283,0,3548.13389233576,84,25,701.501813650131
0.77863868307567,1.03411345201855,4302.14920601485,1.00012559792093,0,3981.07170553498,97,25,816.637327194214
0.778638684038227,1.03411344695418,4827.09080828595,1.00011193137628,0,4466.83592150964,79,25,796.255802869797
0.77863868480281,1.03411344217877,5416.08501812616,1.00009977310264,0,5011.87233627273,98,40,2127.42537689209
0.778638685410138,1.03411345498028,6076.94724239031,1.00008891574678,0,5623.41325190349,97,40,2281.49813437462
0.778638685892554,1.03411346739975,6818.44698759473,1.00007923713108,0,6309.57344480194,89,25,633.15956568718
0.77863868627575,1.03411346568699,7650.42322737976,1.00007062223497,0,7079.45784384139,85,25,806.0228703022
0,0,0,0.554001005725021,0,7943.28234724282,86,25,655.884744882584
0,0,0,0.339779860056903,0,8912.50938133746,112,40,2257.79261088371
