P_max,Omega,Gamma_e,Delta_1,number_of_fails,ComputTime
0.0002303788519175,0.213205572292155,0.01412538,2.6,0,585.579700469971
0.0002125945897533,0.213321009670041,0.01412538,2.7,0,667.424305677414
0.0001968275357677,0.213441484709978,0.01412538,2.8,0,659.531244277954
0.0001827342805934,0.213534779161214,0.01412538,2.9,0,669.503821849823
0.0001701383005126,0.213640302118408,0.01412538,3.0,0,631.383392095566
0.0001588020105595,0.213732219530571,0.01412538,3.1,0,676.710933446884
0.0001485795546454,0.213821119602313,0.01412538,3.2,0,675.244973182678
0.0001393293894459,0.213912111105416,0.01412538,3.3,0,624.888628482819
0.0001309146026131,0.213989383515797,0.01412538,3.4,0,622.238956928253
0.0001232627293603,0.214079017244058,0.01412538,3.5,0,712.806973218918
0.0001162587476584,0.214154042728709,0.01412538,3.6,0,662.390082836151
0.0001098484986646,0.21423450081393,0.01412538,3.7,0,636.400616884232
0.000103958565529,0.214310967589621,0.01412538,3.8,0,595.843082666397
9.85357486343403e-05,0.214386068782986,0.01412538,3.9,0,626.569665670395
9.35289685782906e-05,0.214455538494957,0.01412538,4.0,0,596.267151594162
8.89005074771763e-05,0.214524507138757,0.01412538,4.1,0,676.297163009644
8.4607196243469e-05,0.214586334472783,0.01412538,4.2,0,578.528073787689
8.06306050513028e-05,0.214661496385394,0.01412538,4.3,0,617.094090461731
7.69254087552036e-05,0.214726068063978,0.01412538,4.4,0,582.132163047791
7.34589998531633e-05,0.214766724640611,0.01412538,4.5,0,699.599016666412
7.02490889637562e-05,0.214850207395847,0.01412538,4.6,0,724.167868852615
6.72373851089175e-05,0.214913595673131,0.01412538,4.7,0,662.823184251785
6.44124851928608e-05,0.214966579167558,0.01412538,4.8,0,669.19960474968
6.17670711525266e-05,0.215025186335527,0.01412538,4.9,0,684.662795305252
5.92856687181457e-05,0.215088168226684,0.01412538,5.0,0,676.132883310318
0.046627149733444,0.0840916733976796,0.01584893,0.0,0,638.466050386429
0.0371954764249462,0.228242256430432,0.01584893,0.1,0,626.174566984177
0.0276600830315671,0.230522390115579,0.01584893,0.2,0,563.19527888298
0.0189661036244709,0.231870169551924,0.01584893,0.3,0,547.060963869095
0.0131540145414665,0.23281927109073,0.01584893,0.4,0,664.739344596863
0.0094735477471273,0.233549919896895,0.01584893,0.5,0,667.252349376679
0.0070056789739037,0.234144693120081,0.01584893,0.6,0,665.79851102829
0.0052840693211261,0.234649869019578,0.01584893,0.7,0,699.846004962921
0.0040640871554294,0.235076605222072,0.01584893,0.8,0,597.905387878418
0.0031887781726175,0.235468551649365,0.01584893,0.9,0,670.840436935425
0.0025495043552184,0.235802516725445,0.01584893,1.0,0,596.182863950729
0.0020742831609426,0.236118414338992,0.01584893,1.1,0,712.309071302414
0.001713994980959,0.236396414238485,0.01584893,1.2,0,653.780778169632
0.001436140515982,0.236647472741122,0.01584893,1.3,0,659.831929922104
0.0012185378575564,0.236885591100945,0.01584893,1.4,0,581.349148750305
0.0010455205220538,0.237106073524565,0.01584893,1.5,0,564.706702232361
0.0009061592792277,0.237321296959143,0.01584893,1.6,0,590.804238080978
0.0007924394803094,0.237519255819639,0.01584893,1.7,0,657.023210048676
0.000698598693406,0.237705314582052,0.01584893,1.8,0,671.213642120361
0.0006202955702579,0.237867978707492,0.01584893,1.9,0,662.235079050064
0.0005544816806552,0.238038965555138,0.01584893,2.0,0,607.82852602005
0.0004985036917775,0.238181946129276,0.01584893,2.1,0,669.786195278168
0.0004507215037142,0.238350049074766,0.01584893,2.2,0,599.271000862122
0.0004094452383603,0.238492708081788,0.01584893,2.3,0,555.075399160385
0.0003736184183884,0.238625373350902,0.01584893,2.4,0,563.949189424515
0.00034232563031,0.23875490604932,0.01584893,2.5,0,576.474725008011
0.0003147737350497,0.238856034125979,0.01584893,2.6,0,680.562902212143
0.0002905356539793,0.238994723829902,0.01584893,2.7,0,595.180458784103
0.000269004437746,0.239119339088487,0.01584893,2.8,0,683.232738733292
0.0002497882460953,0.239232452513921,0.01584893,2.9,0,594.591019630432
0.0002325744711272,0.239339548014446,0.01584893,3.0,0,678.680018424988
0.0002170977874016,0.239443507684081,0.01584893,3.1,0,664.101872205734
0.0002031427520631,0.239548190057063,0.01584893,3.2,0,670.671175479889
0.0001904957354705,0.239641556073519,0.01584893,3.3,0,613.853972196579
0.0001790147531073,0.239739033999538,0.01584893,3.4,0,641.95108127594
0.000168552655338,0.239834118334076,0.01584893,3.5,0,560.652934074402
