P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.0008180618790095,1.03376752316762,20.5261044591158,1.03115077324174,0.0,0.01,12.6,-12.6,1,2863.00667214394
0.0009612474743888,1.03349261406725,35.4813692851692,1.13673769817015,0.136495878902513,0.01,12.7,-12.7,0,70302.9524586201
0.0008052904735131,1.03377894354185,20.8520087033163,1.03065944637722,0.0,0.01,12.8,-12.8,2,80254.8293817043
0.0009463707566578,1.0335073344886,36.0399117234255,1.13462585839195,0.134389144207993,0.01,12.9,-12.9,0,4219.48863077164
0.0007929116627521,1.03379101790478,21.1778976913299,1.03018793694793,0.0,0.01,13.0,-13.0,2,4692.6316857338
0.0009319474064446,1.03353144195938,36.598514925936,1.13257040329793,0.132347412600227,0.01,13.1,-13.1,0,3306.309030056
0.0007809076200684,1.03380017698152,21.5038302308866,1.02972352447528,0.0,0.01,13.2,-13.2,1,3507.85362291336
0.0007750408587932,1.03380529391222,21.6667364208608,1.02949781079197,0.0,0.01,13.3,-13.3,0,37728.8935670853
0.0009111181320136,1.0335514980236,37.4363142467384,1.12960793093224,0.129397314478453,0.01,13.4,-13.4,0,64134.6316633225
0.0009043803775535,1.03356045772015,37.7156495498926,1.1286479102714,0.128441864482534,0.01,13.5,-13.5,0,34026.0147650242
0.0008977415247473,1.03357148950547,37.9949874025797,1.1277030499933,0.127502036234492,0.01,13.6,-13.6,0,40940.2462334633
0.0008911994122173,1.03357555337029,38.2742748877616,1.12677554528126,0.126576897331746,0.01,13.7,-13.7,0,2927.858492136
0.0007469813183852,1.03382688942554,22.4814349866824,1.0284235582547,0.0,0.01,13.8,-13.8,0,2861.74990773201
0.0008732514767601,1.03410499947016,39.2532416103048,1.30720114324342,0.307432941242333,0.01,13.9,-13.9,2,64272.5140547752
0.0007363182118658,1.03383772468543,22.8073676433052,1.02801493643036,0.0,0.01,14.0,-14.0,1,35639.9636554718
0.0008659572794069,1.03360889139353,39.3914372308047,1.12318297546597,0.123000554308871,0.01,14.1,-14.1,0,31092.0201249123
0.000855138778865,1.03373068170007,40.1020526680494,1.26923928886232,0.268850051680495,0.01,14.2,-14.2,2,45448.6814005375
0.0008538648489625,1.03362378642261,39.9499408567225,1.12145889941056,0.121287502826369,0.01,14.3,-14.3,0,3144.20808744431
0.0008479443805057,1.03362641983968,40.2292502555698,1.12062230517889,0.120448680102569,0.01,14.4,-14.4,2,41038.1921315193
0.0014994469790232,0.260958065390176,0.110592081180132,11.494856415162,1.47587855621424,0.01,14.5,-14.5,0,44819.7428789139
0.0020046230274429,0.562167334057969,0.0591623885006717,12.8370117581363,3.05934835541661,0.01,14.6,-14.6,1,78224.2151079178
0.0008306654699028,1.03364778453281,41.0671421932562,1.11816104655521,0.118000542101196,0.01,14.7,-14.7,2,40199.2059700489
0.000696545397112,1.03386601561447,24.1108374515091,1.02648865455704,0.0,0.01,14.8,-14.8,0,4421.50850582123
0.0006918738563865,1.03386672858455,24.2738417838646,1.02631157287333,0.0,0.01,14.9,-14.9,2,4165.2868168354
0.0008140765874904,1.03366752882797,41.9049866306381,1.11580362218354,0.115649952558393,0.01,15.0,-15.0,1,4060.38918542862
0.0006827162557377,1.03387597119465,24.5996932684633,1.02595983954529,0.0,0.01,15.1,-15.1,0,32681.7571558952
0.0006782277573494,1.03387594809378,24.7626529601694,1.02578755914841,0.0,0.01,15.2,-15.2,0,44775.316729784
0.0008233241286702,0.041475948736285,0.037146943184544,1.53089636840266,2.84519469967008,0.01,15.3,-15.3,6,58246.9784448147
0.0019173814847837,0.0557610798639542,0.0264370791435049,15.6693017388238,4.92881674822279,0.01,15.4,-15.4,0,53923.3365135193
0.0007878532122764,1.03369364814282,43.3013907020232,1.11207237638444,0.111933742882984,0.01,15.5,-15.5,1,4108.18942570686
0.0006608487855589,1.03388947102495,25.4143720038418,1.02512425256307,0.0,0.01,15.6,-15.6,1,3557.65125727654
0.0007778308204356,1.03370706334039,43.860081952528,1.11064499359246,0.110513354462711,0.01,15.7,-15.7,0,78708.9338355064
0.000652489039685,1.03389469128556,25.7402374752773,1.02480131152754,0.0,0.01,15.8,-15.8,0,2978.0266866684
0.0007676524350097,1.02593886567009,44.8824799745212,1.11468106125845,0.103483092981552,0.01,15.9,-15.9,0,97594.1947770119
0.0007632663270611,1.03371903645738,44.6979561701257,1.10857598565776,0.108448660923253,0.01,16.0,-16.0,1,37157.8669185638
0.0007585319335514,1.03372224432781,44.9771640140365,1.10790077344783,0.107778336400188,0.01,16.1,-16.1,0,3251.8286216259
0.0006363883512226,1.03390492699328,26.3919689761272,1.02418548465074,0.0,0.01,16.2,-16.2,2,5143.32447099686
0.0006324865644113,1.03390752444969,26.5549330815875,1.02403895878314,0.0,0.01,16.3,-16.3,1,37058.4886746407
0.0006286323274635,1.03391010270845,26.7178802297631,1.02389097025971,0.0,0.01,16.4,-16.4,0,36032.0870399475
