P_max,OmegaA,OmegaB,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
4.7802255836624025e-22,0.6448104376858129,2.443729696668046,67.76778863116863,64.52048276449213,0.01,6.0,-6.0,1.0,594.50599360466
3.159577143894923e-05,0.1252035825015739,3.4997004155965525,81.42417849310564,80.07974178023454,0.01,6.1000000000000005,-6.1000000000000005,0.0,61864.65924882889
1.1132843919834684e-30,3.9203553033635945,0.2411964590527836,57.32648398512191,68.49178624602553,0.01,6.2,-6.2,0.0,52.69972276687622
0.0,2.637844881607638,4.462395474775251,147.99141460140618,134.26452453682592,0.01,6.300000000000001,-6.300000000000001,0.0,12.892770767211914
5.329455272636494e-31,0.8564220707061923,0.2899119350625246,115.33736240790772,105.80387873717278,0.01,6.4,-6.4,0.0,34.39999222755432
0.0,3.3355228248355244,1.6121022584701836,149.20518396385765,145.86542013355646,0.01,6.5,-6.5,0.0,12.745651245117188
1.4321349029088213e-23,0.6489483172967566,2.524174434272902,73.05252634532434,62.41771200359905,0.01,6.6000000000000005,-6.6000000000000005,0.0,147.43272018432617
0.0004456502590797,0.1204471499893443,3.250629053358609,84.87256097566211,84.85414608860032,0.01,6.7,-6.7,0.0,70247.75170350075
1.1132242107320962e-30,3.854085236790492,0.2409435134044851,57.54630951310969,68.41157780616075,0.01,6.800000000000001,-6.800000000000001,0.0,44.195860862731934
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,6.9,-6.9,0.0,12.084468126296995
1.065886040550852e-30,0.8204337575519994,0.2870445853017331,115.28576134183324,108.3729491855504,0.01,7.0,-7.0,0.0,34.30274701118469
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,7.1000000000000005,-7.1000000000000005,0.0,12.211632013320925
1.0113169482891188e-22,0.6525626947526431,2.513162624929554,69.4386301653289,63.72591589043395,0.01,7.2,-7.2,0.0,339.6409220695496
0.0002640459665877,0.1211508041617698,3.5066535492053124,82.13114075259371,82.15568694259727,0.01,7.300000000000001,-7.300000000000001,1.0,61673.22160720825
1.1133051272969203e-30,3.853230053105293,0.2429888216909678,57.51821146591094,68.11496650714366,0.01,7.4,-7.4,0.0,49.9374589920044
0.0,2.637844881607638,4.462395474775251,147.99141460140618,134.26452453682592,0.01,7.5,-7.5,0.0,12.24242901802063
1.0658818994255865e-30,0.83667046438211,0.288977385727458,114.56827345673264,109.27251753644236,0.01,7.6,-7.6,0.0,34.43990540504456
0.0,3.3355228248355244,1.6121022584701836,149.20518396385765,145.86542013355646,0.01,7.7,-7.7,0.0,12.074280261993408
0.0005586081019457,0.6586372822323987,2.395385008316564,65.12577229732003,65.13880790581977,0.01,7.800000000000001,-7.800000000000001,0.0,71402.2888019085
0.0005473342560149,0.1316743962664296,3.494363335923119,80.49608214426675,80.52287346576182,0.01,7.9,-7.9,0.0,78252.38023042679
1.1133086390383552e-30,3.828532921138121,0.237831671966417,57.49433092179626,68.98030041776872,0.01,8.0,-8.0,0.0,41.39806628227234
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,8.1,-8.1,0.0,12.087600708007812
1.0658775206132996e-30,0.8256078063707067,0.2857003019390469,114.53046578633996,109.93196632317414,0.01,8.200000000000001,-8.200000000000001,0.0,30.99485349655152
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,8.3,-8.3,0.0,12.21419906616211
1.4106625544501918e-05,0.6279352193603014,2.473535043267098,68.68191475990704,65.77425017276298,0.01,8.4,-8.4,1.0,57112.30374693871
0.0001781610669764,0.1320409178367381,3.423190911162924,81.8262262226673,81.8206787271245,0.01,8.5,-8.5,0.0,73454.29889893532
1.1133099088469446e-30,3.845870434177662,0.2395045035206269,57.47378268843698,68.72010510165461,0.01,8.6,-8.6,0.0,61.032094955444336
0.0,2.637844881607638,4.462395474775251,147.99141460140618,134.26452453682592,0.01,8.700000000000001,-8.700000000000001,0.0,12.858184814453123
1.065881836389865e-30,0.8524812673092127,0.284199795516775,115.39031162131252,107.00114861533125,0.01,8.8,-8.8,0.0,38.94441962242127
0.0,3.3355228248355244,1.6121022584701836,149.20518396385765,145.86542013355646,0.01,8.9,-8.9,0.0,12.684244155883787
7.410056141490444e-07,0.6228185977076585,2.428844842012416,67.73602282295666,67.5219379781218,0.01,9.0,-9.0,0.0,58915.51099586487
